link_noticia,titulo,data_hora,tags
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/04/guerra-em-costa-barros-bope-e-batalhoes-fazem-cerco-apos-noite-de-terror.ghtml,Guerra em Costa Barros: polícia do RJ faz cerco após noite de terror, 04/10/2019 06h15 ,Rio de Janeiro
https://g1.globo.com/politica/blog/andreia-sadi/post/2019/10/04/proposta-de-maia-e-de-grupo-do-pacote-anticrime-preve-investigacao-de-milicias-pela-pf.ghtml,Proposta de Maia e de grupo do pacote anticrime prevê investigação de milícias pela PF, 04/10/2019 05h01 , Câmara dos Deputados 
https://g1.globo.com/politica/blog/valdo-cruz/post/2019/10/04/governo-quer-dar-poder-a-parlamentares-na-divisao-de-recursos-do-pre-sal-para-concluir-reforma-da-previdencia.ghtml,Governo quer dar poder a parlamentares na divisão de recursos do pré-sal para concluir reforma da Previdência, 04/10/2019 08h02 , Câmara dos Deputados 
https://g1.globo.com/sp/sao-paulo/noticia/2019/10/04/procurador-que-atacou-juiza-entrou-com-faca-de-cozinha-escondida-nas-roupas-na-sede-do-trf-3a-regiao-na-avenida-paulista.ghtml,Procurador que atacou juíza entrou com faca de cozinha escondida nas roupas na sede do TRF 3ª Região na Avenida Paulista, 04/10/2019 06h54 ,São Paulo
https://g1.globo.com/economia/noticia/2019/10/04/conheca-as-aereas-low-cost-que-ja-operam-ou-estao-interessadas-no-brasil.ghtml,Conheça as aéreas low cost que já operam ou estão interessadas no Brasil, 04/10/2019 08h11 ,Economia
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml,G1 lança ferramenta com informações de todas as escolas do Brasil, 05/10/2019 06h00 ,Educação
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/05/pink-e-anitta-estreiam-no-rock-in-rio-em-dia-de-pop-e-funk-o-que-esperar-deste-sabado-5.ghtml,Pink e Anitta estreiam no Rock in Rio em dia de pop e funk: o que esperar deste sábado (5), 05/10/2019 06h00 , Anitta 
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/05/expectativa-para-show-de-anitta-no-rock-in-rio-gera-memes-nas-redes-sociais.ghtml,Expectativa para show de Anitta no Rock in Rio gera memes nas redes sociais , 05/10/2019 10h43 ,Rock in Rio 2019
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/05/como-o-exercito-de-fas-da-anitta-se-organiza-e-ajudou-a-colocar-a-cantora-no-rock-in-rio.ghtml,Como o exército de fãs da Anitta se organiza e ajudou a colocar a cantora no Rock in Rio, 05/10/2019 06h00 , Anitta 
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/05/iron-maiden-show-de-game-scorpions-do-brasil-e-adeus-slayer-o-resumo-do-5o-dia-de-rock-in-rio.ghtml,"Iron Maiden 'show de game', Scorpions do Brasil e adeus, Slayer: o resumo do 5º dia de Rock in Rio", 05/10/2019 01h45 , Anthrax 
https://g1.globo.com/bemestar/sarampo/noticia/2019/10/05/adultos-de-50-a-59-passam-a-ser-vacinados-na-campanha-contra-o-sarampo-em-2020.ghtml,Adultos de 50 a 59 passam a ser vacinados na campanha contra o sarampo em 2020, 05/10/2019 06h00 ,Bem Estar
https://g1.globo.com/loterias/noticia/2019/10/05/mega-sena-pode-pagar-premio-de-r-18-milhoes-neste-sabado.ghtml,Mega-Sena pode pagar prêmio de R$ 18 milhões neste sábado, 05/10/2019 00h01 , Caixa Econômica Federal 
https://g1.globo.com/economia/noticia/2019/10/06/com-trabalho-por-conta-propria-em-nivel-recorde-numero-de-meis-ultrapassa-a-marca-de-9-milhoes.ghtml,"Com trabalho por conta própria em nível recorde, número de MEIs ultrapassa a marca de 9 milhões", 06/10/2019 12h09 ,Economia
https://g1.globo.com/natureza/noticia/2019/10/06/papa-francisco-diz-que-amazonia-precisa-do-fogo-do-amor-e-nao-do-fogo-ateado-por-interesses-que-destroem.ghtml,Papa Francisco diz que Amazônia precisa do 'fogo do amor' e não do 'fogo ateado por interesses que destroem', 06/10/2019 05h39 , Papa Francisco 
https://g1.globo.com/economia/agronegocios/globo-rural/noticia/2019/10/06/produtores-rurais-do-para-tentam-manter-preservacao-na-amazonia-mas-crimes-ambientais-continuam.ghtml,"Produtores rurais do Pará tentam manter preservação na Amazônia, mas crimes ambientais continuam", 06/10/2019 09h56 , Embrapa 
https://g1.globo.com/pa/santarem-regiao/noticia/2019/10/06/incendio-florestal-atinge-parque-com-pinturas-rupestres-em-monte-alegre-no-para.ghtml,"Incêndio florestal atinge parque com pinturas rupestres em Monte Alegre, no Pará ", 06/10/2019 10h37 ,Santarém e Região
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/06/muse-e-imagine-dragons-fecham-rock-in-rio-2019-com-duas-atracoes-principais-neste-domingo.ghtml,Muse e Imagine Dragons fecham Rock in Rio 2019 com duas atrações principais neste domingo, 06/10/2019 06h00 , Imagine Dragons 
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/06/pink-acrobatica-anitta-em-dobro-e-funk-orquestrado-o-resumo-do-6o-dia-de-rock-in-rio.ghtml,"Pink acrobática, Anitta em dobro e funk orquestrado: o resumo do 6º dia de Rock in Rio", 06/10/2019 01h48 , Anitta 
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/06/fas-de-imagine-dragons-que-nao-conseguirao-ir-ao-show-da-banda-no-rock-in-rio-geram-memes-e-lamentam.ghtml,Fãs de Imagine Dragons que não conseguirão ir ao show da banda no Rock in Rio geram memes e lamentam, 06/10/2019 11h24 ,Rock in Rio 2019
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/06/em-cinco-dias-de-rock-in-rio-policia-civil-registrou-719-ocorrencias-durante-o-evento.ghtml,"Em cinco dias de Rock in Rio, Polícia Civil registrou 719 ocorrências durante o evento", 06/10/2019 07h01 ,Rock in Rio 2019
https://g1.globo.com/pop-arte/musica/rock-in-rio/2019/noticia/2019/10/06/empresa-que-tinha-trabalhadores-dormindo-embaixo-do-palco-sunset-e-multada-em-r-30-mil.ghtml,Empresa que tinha trabalhadores dormindo embaixo do Palco Sunset é multada em R$ 30 mil, 06/10/2019 06h00 ,Rock in Rio 2019
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml,Mapa das privatizações: governo tem 119 projetos anunciados e prevê realizar mais 22 leilões até fim do ano, 08/10/2019 05h01 ,Economia
https://g1.globo.com/ciencia-e-saude/noticia/2019/10/08/nobel-de-fisica-premia-james-peebles-michel-mayor-e-didier-queloz.ghtml,Trio leva Nobel de Física de 2019 por pesquisas sobre origem do universo e descoberta de planeta , 08/10/2019 06h53 , Canadá 
https://g1.globo.com/politica/noticia/2019/10/08/parece-que-criminosamente-algo-foi-despejado-la-diz-bolsonaro-sobre-oleo-que-atingiu-praias-do-nordeste.ghtml,"'Parece que criminosamente algo foi despejado lá', diz Bolsonaro sobre óleo que atingiu praias do Nordeste", 08/10/2019 09h10 ,Política
